	DUHS_A549	DUHS_Cd20ro01794	DUHS_Gm12878	DUHS_H1hesc	DUHS_H7hesc	DUHS_Helas3Ifna4h	DUHS_Helas3	DUHS_Hepg2	DUHS_Huvec	DUHS_Imr90	DUHS_K562G1phase	DUHS_K562G2mphase	DUHS_K562Nabut	DUHS_K562Saha1u72hr	DUHS_K562Sahactrl	DUHS_K562	DUHS_LNCaP	DUHS_Mcf7Ctcfshrna	DUHS_Mcf7Hypoxlac	DUHS_Mcf7Randshrna	DUHS_Mcf7	DUHS_Monocd14	DUHS_NakedK562	DUHS_NakedMcf7	DUHS_Sknsh	UWDGF_A549	UWDGF_Cd20ro01778	UWDGF_H7hesc	UWDGF_Hepg2	UWDGF_Huvec	UWDGF_K562Znfa41c6	UWDGF_K562Znfp5	UWDGF_K562	UWDGF_Lhcnm2Diff4d	UWDGF_Lhcnm2	UWDGF_NakedIMR90	UWDGF_m3134	UWHS_A549	UWHS_Cd20ro01778	UWHS_Gm12878	UWHS_H1hesc	UWHS_Helas3	UWHS_Hepg2	UWHS_Huvec	UWHS_K562Znf2c10c5	UWHS_K562Znf4c50c4	UWHS_K562Znf4g7d3	UWHS_K562Znfa41c6	UWHS_K562Znfb34a8	UWHS_K562Znfe103c6	UWHS_K562Znff41b2	UWHS_K562Znfg54a11	UWHS_K562Znfp5	UWHS_K562	UWHS_Lhcnm2Diff4d	UWHS_Lhcnm2	UWHS_Mcf7Est100nm1h	UWHS_Mcf7Estctrl0h	UWHS_Mcf7	UWHS_Monocd14	UWHS_Monocd14ro1746
UWHS_Gm12878	0.663271	0.652806	0.678384	0.433384	0.305221	0.773855	0.613731	0.651974	0.776253	0.778343	0.558979	0.522659	0.607169	0.537505	0.464076	0.558286	0.633236	0.660484	0.559114	0.457111	0.727657	0.37908	0.725254	0.825917	0.425499	0.975122	0.953615	0.970664	0.931958	0.980055	0.968725	0.958718	0.975534	0.928368	0.955021	0.693445	0.957347	0.977707	0.970669	1	0.978322	0.949943	0.953573	0.966588	0.977896	0.973146	0.97282	0.984617	0.970584	0.98412	0.971871	0.973079	0.965609	0.970207	0.94665	0.967951	0.97963	0.979684	0.974784	0.982762	0.9803
UWHS_H1hesc	0.654236	0.648208	0.686661	0.424406	0.29917	0.776645	0.605381	0.642801	0.761672	0.766892	0.540119	0.502241	0.601735	0.535593	0.464387	0.554481	0.639301	0.657198	0.555552	0.453068	0.744594	0.390882	0.741814	0.839649	0.420096	0.963507	0.927739	0.975329	0.923137	0.965774	0.950081	0.940709	0.968512	0.911885	0.937076	0.710773	0.956352	0.974353	0.947473	0.978322	1	0.962886	0.940599	0.972492	0.970881	0.968683	0.969508	0.971716	0.96221	0.975449	0.975978	0.961805	0.951064	0.968167	0.928443	0.95168	0.969546	0.968274	0.985187	0.962601	0.955313
UWHS_Helas3	0.645521	0.597856	0.667171	0.378793	0.263895	0.755227	0.575648	0.604041	0.74	0.714968	0.489933	0.45203	0.562971	0.498986	0.432008	0.516317	0.613975	0.641225	0.537658	0.433148	0.757824	0.362868	0.717727	0.803257	0.382976	0.925295	0.867692	0.96008	0.892786	0.933079	0.901386	0.887777	0.958363	0.860961	0.895672	0.680402	0.950032	0.964268	0.897422	0.949943	0.962886	1	0.918271	0.978061	0.952145	0.965479	0.957339	0.945548	0.94544	0.960141	0.982568	0.938175	0.910421	0.967839	0.88408	0.923878	0.934095	0.933188	0.96307	0.937791	0.917613
UWHS_Hepg2	0.747282	0.757355	0.7659	0.551661	0.44406	0.82384	0.706188	0.743029	0.837145	0.853519	0.673059	0.645103	0.725677	0.671188	0.604403	0.678512	0.733345	0.753568	0.667625	0.584305	0.777985	0.519695	0.671842	0.78909	0.570486	0.961443	0.962442	0.958386	0.98955	0.958273	0.964144	0.954626	0.974349	0.907692	0.920956	0.596716	0.967027	0.94281	0.964814	0.953573	0.940599	0.918271	1	0.916619	0.953625	0.943716	0.941508	0.954157	0.936567	0.950421	0.95815	0.935789	0.951872	0.968141	0.921638	0.924563	0.946084	0.944406	0.942384	0.93811	0.953673
UWHS_Huvec	0.590272	0.553193	0.608012	0.326961	0.211279	0.708404	0.518196	0.55508	0.701028	0.691447	0.443481	0.404053	0.513789	0.442132	0.370048	0.463654	0.555409	0.586243	0.47087	0.36947	0.689837	0.288355	0.737391	0.817619	0.324131	0.958623	0.895035	0.972196	0.889998	0.961708	0.928553	0.916803	0.961509	0.893522	0.929878	0.738846	0.949795	0.988366	0.924364	0.966588	0.972492	0.978061	0.916619	1	0.977078	0.987347	0.981692	0.969293	0.976828	0.98202	0.979286	0.97415	0.934014	0.961734	0.915481	0.953669	0.966831	0.966613	0.962245	0.966391	0.947317
UWHS_K562Znf2c10c5	0.633325	0.62689	0.650238	0.409908	0.30807	0.744407	0.579712	0.618134	0.747665	0.756938	0.529239	0.49231	0.584616	0.519488	0.442421	0.536321	0.608311	0.636307	0.532441	0.433621	0.707341	0.349453	0.717396	0.814301	0.40427	0.989242	0.948489	0.97963	0.937227	0.978878	0.971068	0.970789	0.97894	0.948312	0.968115	0.701161	0.967881	0.993887	0.965737	0.977896	0.970881	0.952145	0.953625	0.977078	1	0.987667	0.996339	0.988057	0.996768	0.993174	0.981998	0.994064	0.979687	0.973229	0.962815	0.976265	0.986789	0.985357	0.968318	0.979778	0.97617
UWHS_K562Znf4c50c4	0.612805	0.590109	0.632226	0.358999	0.253976	0.719072	0.538975	0.582519	0.718905	0.728931	0.489516	0.454646	0.557618	0.482058	0.412495	0.504205	0.580704	0.610436	0.495381	0.406544	0.69406	0.315674	0.715407	0.800346	0.370893	0.975786	0.929747	0.983273	0.919361	0.976016	0.955462	0.941786	0.975486	0.905902	0.937558	0.713631	0.966371	0.990879	0.951469	0.973146	0.968683	0.965479	0.943716	0.987347	0.987667	1	0.987212	0.982483	0.984323	0.991944	0.986127	0.982554	0.950155	0.970289	0.926668	0.956109	0.977787	0.977608	0.961205	0.97497	0.965417
UWHS_K562Znf4g7d3	0.619044	0.60569	0.633253	0.392547	0.295211	0.736277	0.566441	0.602107	0.735588	0.738036	0.508149	0.469192	0.563649	0.500374	0.421208	0.516114	0.590668	0.622303	0.516585	0.415152	0.699679	0.327717	0.72454	0.815056	0.380547	0.981718	0.933739	0.973606	0.92448	0.973485	0.960067	0.96188	0.975156	0.947536	0.967699	0.711548	0.960034	0.993182	0.954468	0.97282	0.969508	0.957339	0.941508	0.981692	0.996339	0.987212	1	0.983037	0.995897	0.990735	0.979947	0.994714	0.97364	0.971845	0.961628	0.977193	0.98273	0.98131	0.96661	0.975992	0.968117
UWHS_K562Znfa41c6	0.649754	0.643425	0.666911	0.419825	0.305419	0.763281	0.591397	0.636695	0.765961	0.781821	0.548757	0.51238	0.603069	0.529812	0.451551	0.551082	0.623634	0.651434	0.544803	0.444714	0.719245	0.350523	0.728951	0.829638	0.414375	0.981864	0.966131	0.979709	0.934444	0.978943	0.984046	0.976962	0.977515	0.949357	0.970445	0.702484	0.959348	0.984529	0.982258	0.984617	0.971716	0.945548	0.954157	0.969293	0.988057	0.982483	0.983037	1	0.983067	0.996361	0.974867	0.983646	0.982788	0.969912	0.965489	0.980458	0.979687	0.979388	0.965488	0.991154	0.989072
UWHS_K562Znfb34a8	0.604988	0.590674	0.613763	0.38302	0.281259	0.716975	0.547687	0.585191	0.724226	0.728537	0.495444	0.457481	0.549194	0.484234	0.403684	0.501145	0.57393	0.606376	0.500601	0.399173	0.67953	0.306411	0.714453	0.807766	0.366613	0.984514	0.935715	0.970964	0.919648	0.972849	0.961677	0.963705	0.968865	0.949054	0.969503	0.706875	0.957603	0.992884	0.955536	0.970584	0.96221	0.94544	0.936567	0.976828	0.996768	0.984323	0.995897	0.983067	1	0.989648	0.972689	0.995982	0.97526	0.962528	0.963064	0.97792	0.984835	0.983355	0.958169	0.976886	0.970423
UWHS_K562Znfe103c6	0.634992	0.619092	0.651932	0.391037	0.283944	0.745386	0.56889	0.612381	0.746743	0.7574	0.521556	0.484917	0.580963	0.506527	0.431473	0.52917	0.605041	0.634445	0.52415	0.427234	0.713045	0.331987	0.723898	0.819308	0.392709	0.982403	0.951275	0.983315	0.928897	0.978889	0.973731	0.966628	0.978884	0.939218	0.963992	0.709299	0.96427	0.992685	0.971056	0.98412	0.975449	0.960141	0.950421	0.98202	0.993174	0.991944	0.990735	0.996361	0.989648	1	0.98374	0.988178	0.975666	0.973262	0.957	0.977601	0.98262	0.982178	0.970378	0.989168	0.982348
UWHS_K562Znff41b2	0.673333	0.655285	0.706766	0.42275	0.323714	0.773703	0.604571	0.642096	0.76435	0.770174	0.555948	0.522081	0.622421	0.554142	0.490046	0.573659	0.653351	0.674936	0.570052	0.481681	0.76669	0.405165	0.708728	0.803464	0.446685	0.965469	0.926177	0.983419	0.940169	0.962935	0.951166	0.941155	0.980608	0.9019	0.925885	0.676483	0.978369	0.981913	0.945065	0.971871	0.975978	0.982568	0.95815	0.979286	0.981998	0.986127	0.979947	0.974867	0.972689	0.98374	1	0.966702	0.951991	0.98185	0.920511	0.943099	0.962871	0.961376	0.977592	0.960784	0.953709
UWHS_K562Znfg54a11	0.603445	0.594364	0.608827	0.396602	0.283011	0.726661	0.559573	0.59621	0.733579	0.734909	0.498517	0.459236	0.549654	0.489064	0.402681	0.500984	0.571942	0.606598	0.502269	0.394644	0.66996	0.306842	0.731639	0.822209	0.362823	0.985214	0.941918	0.967417	0.918591	0.979643	0.96583	0.965793	0.970656	0.953172	0.974924	0.718801	0.950912	0.989313	0.960919	0.973079	0.961805	0.938175	0.935789	0.97415	0.994064	0.982554	0.994714	0.983646	0.995982	0.988178	0.966702	1	0.974697	0.963667	0.966597	0.98186	0.987099	0.986466	0.953483	0.979969	0.975203
UWHS_K562Znfp5	0.679257	0.691815	0.691044	0.49089	0.392676	0.787144	0.642793	0.68203	0.795983	0.81335	0.607589	0.570762	0.645621	0.586912	0.502248	0.600943	0.659406	0.688687	0.597788	0.49376	0.733064	0.403571	0.708322	0.820373	0.471465	0.976014	0.971587	0.953901	0.941916	0.960515	0.98263	0.99408	0.963021	0.981414	0.984284	0.658483	0.944977	0.964616	0.980374	0.965609	0.951064	0.910421	0.951872	0.934014	0.979687	0.950155	0.97364	0.982788	0.97526	0.975666	0.951991	0.974697	1	0.956189	0.988562	0.980606	0.96682	0.964773	0.952083	0.971373	0.978618
UWHS_K562	0.701582	0.696924	0.717281	0.497191	0.370432	0.815311	0.671721	0.702649	0.816296	0.80986	0.59467	0.556911	0.654	0.60132	0.522028	0.609624	0.684454	0.710121	0.62111	0.506817	0.767598	0.45147	0.739626	0.838705	0.476229	0.96504	0.939884	0.976018	0.950802	0.973484	0.958664	0.948135	0.994164	0.921988	0.944535	0.672236	0.969928	0.969373	0.955046	0.970207	0.968167	0.967839	0.968141	0.961734	0.973229	0.970289	0.971845	0.969912	0.962528	0.973262	0.98185	0.963667	0.956189	1	0.936821	0.955024	0.965279	0.964522	0.964042	0.959917	0.960064
UWHS_Lhcnm2Diff4d	0.651263	0.660692	0.643503	0.490773	0.389936	0.767824	0.630258	0.66523	0.782231	0.791821	0.58322	0.542417	0.610077	0.559598	0.464104	0.569262	0.624778	0.661714	0.575658	0.458962	0.69545	0.36222	0.703136	0.818051	0.434419	0.959054	0.954379	0.927318	0.913976	0.947538	0.964187	0.98209	0.945668	0.996196	0.995727	0.653679	0.911082	0.947266	0.964844	0.94665	0.928443	0.88408	0.921638	0.915481	0.962815	0.926668	0.961628	0.965489	0.963064	0.957	0.920511	0.966597	0.988562	0.936821	1	0.98752	0.956015	0.954389	0.925631	0.961111	0.966977
UWHS_Lhcnm2	0.627923	0.615262	0.615315	0.434839	0.307879	0.753875	0.59503	0.631142	0.767565	0.76073	0.522322	0.479559	0.56385	0.50668	0.40963	0.518246	0.589956	0.630909	0.533975	0.409146	0.682402	0.315037	0.734707	0.840413	0.373876	0.968942	0.946462	0.950625	0.906025	0.968101	0.963482	0.968963	0.962489	0.975244	0.994843	0.697974	0.925164	0.971784	0.96575	0.967951	0.95168	0.923878	0.924563	0.953669	0.976265	0.956109	0.977193	0.980458	0.97792	0.977601	0.943099	0.98186	0.980606	0.955024	0.98752	1	0.974703	0.974635	0.94343	0.98344	0.979513
UWHS_Mcf7Est100nm1h	0.612221	0.61688	0.624116	0.408533	0.279922	0.735184	0.57631	0.616106	0.742554	0.753647	0.511565	0.473968	0.565032	0.502752	0.419731	0.516793	0.58948	0.617312	0.514279	0.407077	0.671837	0.336943	0.722568	0.822777	0.38167	0.988644	0.953099	0.97618	0.927067	0.989199	0.968462	0.962786	0.976283	0.940064	0.967278	0.710862	0.95619	0.984917	0.968446	0.97963	0.969546	0.934095	0.946084	0.966831	0.986789	0.977787	0.98273	0.979687	0.984835	0.98262	0.962871	0.987099	0.96682	0.965279	0.956015	0.974703	1	0.999543	0.965499	0.97969	0.979479
UWHS_Mcf7Estctrl0h	0.609504	0.61411	0.620686	0.405968	0.273877	0.73387	0.574564	0.614822	0.741676	0.752245	0.507724	0.470018	0.561683	0.499188	0.41552	0.513077	0.586156	0.614378	0.510787	0.402725	0.667789	0.333265	0.723959	0.823728	0.377011	0.987932	0.95311	0.975659	0.924459	0.990022	0.967979	0.961145	0.976003	0.937791	0.966623	0.713276	0.95422	0.984042	0.968659	0.979684	0.968274	0.933188	0.944406	0.966613	0.985357	0.977608	0.98131	0.979388	0.983355	0.982178	0.961376	0.986466	0.964773	0.964522	0.954389	0.974635	0.999543	1	0.9633	0.98068	0.980278
UWHS_Mcf7	0.669414	0.662487	0.709237	0.423317	0.320375	0.783515	0.615619	0.650372	0.762379	0.769696	0.559339	0.523019	0.61656	0.549031	0.485275	0.571656	0.656815	0.671863	0.573049	0.477801	0.772199	0.408445	0.711346	0.81226	0.444387	0.955468	0.921289	0.968332	0.924637	0.951061	0.942427	0.939245	0.963103	0.908535	0.929109	0.677381	0.955039	0.970101	0.94006	0.974784	0.985187	0.96307	0.942384	0.962245	0.968318	0.961205	0.96661	0.965488	0.958169	0.970378	0.977592	0.953483	0.952083	0.964042	0.925631	0.94343	0.965499	0.9633	1	0.953596	0.946785
UWHS_Monocd14	0.628862	0.617773	0.634231	0.40268	0.270211	0.746722	0.577117	0.621128	0.755793	0.761578	0.516319	0.478265	0.57078	0.499949	0.416727	0.519549	0.59389	0.627785	0.5194	0.41279	0.688579	0.321704	0.728694	0.830197	0.379747	0.97576	0.958985	0.96921	0.91361	0.980052	0.972401	0.964583	0.970264	0.942143	0.971412	0.710532	0.943538	0.978994	0.977529	0.982762	0.962601	0.937791	0.93811	0.966391	0.979778	0.97497	0.975992	0.991154	0.976886	0.989168	0.960784	0.979969	0.971373	0.959917	0.961111	0.98344	0.97969	0.98068	0.953596	1	0.994222
UWHS_Monocd14ro1746	0.65918	0.665957	0.665852	0.45851	0.322122	0.772575	0.619583	0.664756	0.786702	0.802687	0.568907	0.533296	0.617919	0.552552	0.468169	0.567666	0.631374	0.662768	0.56082	0.457432	0.699624	0.373098	0.720778	0.831055	0.434214	0.980934	0.981129	0.96712	0.933656	0.984402	0.985961	0.978766	0.973524	0.951247	0.974347	0.685663	0.94678	0.968695	0.991832	0.9803	0.955313	0.917613	0.953673	0.947317	0.97617	0.965417	0.968117	0.989072	0.970423	0.982348	0.953709	0.975203	0.978618	0.960064	0.966977	0.979513	0.979479	0.980278	0.946785	0.994222	1
