FACTOR	METHOD	OBSERVED VS PREDICTED BIAS SCORE (OBS)	METHOD AUC / TC AUC
CTCFL	BinDNase	0.196114634764	1.15632874332656
E2F4	BinDNase	0.518568752189	0.799421924297995
E2F6	BinDNase	0.625726742361	1.09874327915911
EFOS	BinDNase	0.755693271069	1.10564402246903
EGATA	BinDNase	0.796900563532	1.06181483619067
EGR1	BinDNase	0.763513484225	1.2091574308482
EJUNB	BinDNase	0.69021680169	1.11339684562033
EJUND	BinDNase	0.737108537119	1.10720217566236
ELF1	BinDNase	0.308332265108	1.01707804307239
ELK1	BinDNase	0.455771814968	1.10757247055351
ETS1	BinDNase	0.585564334152	1.0273120310667
FOS	BinDNase	0.738568124619	1.07541284038074
FOSL1	BinDNase	0.752207666107	1.08648708117041
GABP	BinDNase	0.463500531325	1.08625282329876
GATA1	BinDNase	0.838360666041	1.01940406325647
GATA2	BinDNase	0.803147857326	1.03730948073287
IRF1	BinDNase	0.876927353785	1.11182846526732
JUN	BinDNase	0.70375016811	1.02252833600902
JUND	BinDNase	0.744622666669	1.10444926820951
MAFF	BinDNase	0.627273230589	0.996831040259018
MAFK	BinDNase	0.607781675024	0.995516498029028
MAX	BinDNase	0.45307600016	0.992820072634395
MEF2A	BinDNase	0.817226869474	1.03577608390619
MYC	BinDNase	0.266216093732	1.0206214285818
NFE2	BinDNase	0.563238926177	1.07481648569188
NFYA	BinDNase	0.4442794763	1.0462835671838
NFYB	BinDNase	0.39409043756	1.04142775544207
NR2F2	BinDNase	0.592578609471	1.06079366732526
NRF1	BinDNase	0.358511386411	1.14534036397595
PU1	BinDNase	0.560204927134	1.01677543497047
RAD21	BinDNase	0.146943213521	1.20969197173166
REST	BinDNase	0.610249613624	0.944816511756588
RFX5	BinDNase	0.5817831067	1.05731536167649
SIX5	BinDNase	0.631474006345	1.01746110620555
SMC3	BinDNase	0.162677324475	1.16271445542325
SP1	BinDNase	0.431213014296	1.0736988680486
SP2	BinDNase	0.632100986497	1.07465217992908
SRF	BinDNase	0.736995307761	1.06173442800891
STAT1	BinDNase	0.530256300528	1.03496815886553
STAT2	BinDNase	0.85211703434	1.04808207127501
STAT5A	BinDNase	0.639081002969	1.05226734507163
TAL1	BinDNase	0.655570417059	1.05212679152214
THAP1	BinDNase	0.676301280561	1.03195030897423
TR4	BinDNase	0.679182194593	1.06346225926523
USF1	BinDNase	0.587444376029	1.01314897057827
USF2	BinDNase	0.526198069526	1.02758201211471
YY1	BinDNase	0.720753283229	1.00875063775414
ZBTB33	BinDNase	0.469969486229	1.16603532670359
ZBTB7A	BinDNase	0.905862807171	1.07090013384422
ZNF143	BinDNase	0.661591891414	1.02240840051173
ZNF263	BinDNase	0.828219568556	1.15650731108317
ATF3	Neph	0.60464540015	1.06165427170941
BACH1	Neph	0.786930672381	1.19603486340468
BRCA1	Neph	0.494134260188	1.01294334942783
CEBPB	Neph	0.770830153102	1.14952945397433
CTCF	Neph	0.32251716358	1.23778336759087
EGR1	Neph	0.749282409459	1.18668939605659
FOSL1	Neph	0.682479958608	1.06284877102505
GABP	Neph	0.534467733279	1.14189452930366
JUN	Neph	0.761913346455	1.06241486024957
JUND	Neph	0.807218901808	1.16135201974144
MAFK	Neph	0.786973676151	1.21172089639131
MAX	Neph	0.425915383186	1.12372971454644
MYC	Neph	0.416266944553	1.0686013437521
NRF1	Neph	0.128305459891	1.3206921644757
POU5F1	Neph	0.869840977791	1.10052224491227
RAD21	Neph	0.316479443453	1.25576952728296
REST	Neph	0.490044216392	1.25490150037466
RFX5	Neph	0.557216721889	1.14135715511687
RXRA	Neph	0.632870878637	1.12716812165928
SIX5	Neph	0.672866028588	1.09310115195222
SP1	Neph	0.538431880244	1.15757040297089
SP2	Neph	0.494158526449	1.14037391682997
SP4	Neph	0.0596791982171	1.17373069296844
SRF	Neph	0.758712001764	1.16893155507468
TCF12	Neph	0.720877904814	1.16438977619618
USF1	Neph	0.601909079269	1.17818118458136
USF2	Neph	0.577773081932	1.09708935159277
YY1	Neph	0.635495552128	1.08376084332266
ZNF143	Neph	0.689803494665	1.09723991212856
ARID3A	Neph	0.80716421887	1.03136637565172
ATF1	Neph	0.687256109933	1.09071342488552
ATF3	Neph	0.612195738469	1.01368382852476
BACH1	Neph	0.461480034821	1.12571741582845
BHLHE40	Neph	0.563904607907	1.10866667236354
CCNT2	Neph	0.620201438553	1.05012393662555
CEBPB	Neph	0.837443979326	1.16482693341571
CTCF	Neph	0.226450856972	1.18177557800852
CTCFL	Neph	0.196114634764	1.12885736478451
E2F4	Neph	0.518568752189	1.17640507752201
E2F6	Neph	0.625726742361	1.10160678432958
EFOS	Neph	0.755693271069	1.10800212556328
EGATA	Neph	0.796900563532	1.07649397108345
EGR1	Neph	0.763513484225	1.22038100514489
EJUNB	Neph	0.69021680169	1.11860104642897
EJUND	Neph	0.737108537119	1.11315058830859
ELF1	Neph	0.308332265108	1.07728959326006
ELK1	Neph	0.455771814968	1.10192515703883
ETS1	Neph	0.585564334152	1.02466511271007
FOS	Neph	0.738568124619	1.07513348316211
FOSL1	Neph	0.752207666107	1.08513920240411
GABP	Neph	0.463500531325	1.0848117870306
GATA1	Neph	0.838360666041	1.01980672081343
GATA2	Neph	0.803147857326	1.04310571875629
IRF1	Neph	0.876927353785	1.12429786308585
JUN	Neph	0.70375016811	1.05013712799173
JUND	Neph	0.744622666669	1.11113663771292
MAFF	Neph	0.627273230589	1.15779726349332
MAFK	Neph	0.607781675024	1.13730166341569
MAX	Neph	0.45307600016	1.05452886687047
MEF2A	Neph	0.817226869474	1.05056922400616
MYC	Neph	0.266216093732	1.02370960757986
NFE2	Neph	0.563238926177	1.08512660556362
NFYA	Neph	0.4442794763	1.06080061558378
NFYB	Neph	0.39409043756	1.10056268440154
NR2F2	Neph	0.592578609471	1.0967632244183
NRF1	Neph	0.358511386411	1.26611793995271
PU1	Neph	0.560204927134	1.16253222483557
RAD21	Neph	0.146943213521	1.22434634154383
REST	Neph	0.610249613624	1.16885745579887
RFX5	Neph	0.5817831067	1.08788835528511
SIX5	Neph	0.631474006345	1.048365776784
SMC3	Neph	0.162677324475	1.16291940936164
SP1	Neph	0.431213014296	1.07368192601415
SP2	Neph	0.632100986497	1.07170194040632
SRF	Neph	0.736995307761	1.09498164273476
STAT1	Neph	0.530256300528	1.05099590234922
STAT2	Neph	0.85211703434	1.08045109525745
STAT5A	Neph	0.639081002969	1.08529252803381
TAL1	Neph	0.655570417059	1.09560494721358
THAP1	Neph	0.676301280561	1.03600149547406
TR4	Neph	0.679182194593	1.06740558774422
USF1	Neph	0.587444376029	1.10399312070278
USF2	Neph	0.526198069526	1.03896328185384
YY1	Neph	0.720753283229	1.0277279528745
ZBTB33	Neph	0.469969486229	1.21485706396854
ZBTB7A	Neph	0.905862807171	1.06792199277389
ZNF143	Neph	0.661591891414	1.05665932753433
ZNF263	Neph	0.828219568556	1.17279991184444
ATF3	Wellington	0.60464540015	1.06308480860522
BACH1	Wellington	0.786930672381	1.19891527496027
BRCA1	Wellington	0.494134260188	1.01411631501484
CEBPB	Wellington	0.770830153102	1.15151683254365
CTCF	Wellington	0.32251716358	1.25676516186599
EGR1	Wellington	0.749282409459	1.216940531221
FOSL1	Wellington	0.682479958608	1.06438825872318
GABP	Wellington	0.534467733279	1.15687872604724
JUN	Wellington	0.761913346455	1.06420480914227
JUND	Wellington	0.807218901808	1.1640542228442
MAFK	Wellington	0.786973676151	1.21412896171828
MAX	Wellington	0.425915383186	1.12612875588256
MYC	Wellington	0.416266944553	1.07098843723176
NRF1	Wellington	0.128305459891	1.38913198805296
POU5F1	Wellington	0.869840977791	1.10285852816646
RAD21	Wellington	0.316479443453	1.27822884018084
REST	Wellington	0.490044216392	1.25546014747422
RFX5	Wellington	0.557216721889	1.14351135796273
RXRA	Wellington	0.632870878637	1.12863541205251
SIX5	Wellington	0.672866028588	1.09584361319875
SP1	Wellington	0.538431880244	1.17145824694533
SP2	Wellington	0.494158526449	1.14611351065994
SP4	Wellington	0.0596791982171	1.22173265447187
SRF	Wellington	0.758712001764	1.17104227553567
TCF12	Wellington	0.720877904814	1.1690970198307
USF1	Wellington	0.601909079269	1.18006820923095
USF2	Wellington	0.577773081932	1.09893974596277
YY1	Wellington	0.635495552128	1.08538280436177
ZNF143	Wellington	0.689803494665	1.09962431110462
ARID3A	Wellington	0.80716421887	1.03185392910096
ATF1	Wellington	0.687256109933	1.08606490761399
ATF3	Wellington	0.612195738469	1.01471104257171
BACH1	Wellington	0.461480034821	1.11944649849113
BHLHE40	Wellington	0.563904607907	1.10885100597638
CCNT2	Wellington	0.620201438553	1.04614169423373
CEBPB	Wellington	0.837443979326	1.16587270155364
CTCF	Wellington	0.226450856972	1.18054191693252
CTCFL	Wellington	0.196114634764	1.14993370577229
E2F4	Wellington	0.518568752189	1.13128152464297
E2F6	Wellington	0.625726742361	1.10379094565119
EFOS	Wellington	0.755693271069	1.10656648918142
EGATA	Wellington	0.796900563532	1.07345530623868
EGR1	Wellington	0.763513484225	1.20512100242614
EJUNB	Wellington	0.69021680169	1.11525351093936
EJUND	Wellington	0.737108537119	1.10840499068059
ELF1	Wellington	0.308332265108	1.0783175069444
ELK1	Wellington	0.455771814968	1.10165050920005
ETS1	Wellington	0.585564334152	1.02668538343201
FOS	Wellington	0.738568124619	1.07453424081169
FOSL1	Wellington	0.752207666107	1.08570560166999
GABP	Wellington	0.463500531325	1.09026183192055
GATA1	Wellington	0.838360666041	1.02025783938495
GATA2	Wellington	0.803147857326	1.04387515916661
IRF1	Wellington	0.876927353785	1.12594302515602
JUN	Wellington	0.70375016811	1.04950414171524
JUND	Wellington	0.744622666669	1.10694244625979
MAFF	Wellington	0.627273230589	1.15661237533366
MAFK	Wellington	0.607781675024	1.13608716485671
MAX	Wellington	0.45307600016	1.05491281723951
MEF2A	Wellington	0.817226869474	1.0496600706337
MYC	Wellington	0.266216093732	1.02460911245326
NFE2	Wellington	0.563238926177	1.08335154919993
NFYA	Wellington	0.4442794763	1.06399077048867
NFYB	Wellington	0.39409043756	1.10385274644703
NR2F2	Wellington	0.592578609471	1.09019519143764
NRF1	Wellington	0.358511386411	1.20475127205422
PU1	Wellington	0.560204927134	1.15260280672756
RAD21	Wellington	0.146943213521	1.20818166247307
REST	Wellington	0.610249613624	1.17385513782271
RFX5	Wellington	0.5817831067	1.08348769130811
SIX5	Wellington	0.631474006345	1.04971296914517
SMC3	Wellington	0.162677324475	1.16037394347747
SP1	Wellington	0.431213014296	1.07121123044836
SP2	Wellington	0.632100986497	1.06788944995552
SRF	Wellington	0.736995307761	1.09269989939617
STAT1	Wellington	0.530256300528	1.05115856968622
STAT2	Wellington	0.85211703434	1.08090948150519
STAT5A	Wellington	0.639081002969	1.07473174915074
TAL1	Wellington	0.655570417059	1.08671077894814
THAP1	Wellington	0.676301280561	1.0372355470839
TR4	Wellington	0.679182194593	1.06890321489204
USF1	Wellington	0.587444376029	1.10511165921425
USF2	Wellington	0.526198069526	1.04058730579732
YY1	Wellington	0.720753283229	1.0288865552529
ZBTB33	Wellington	0.469969486229	1.18360599631717
ZBTB7A	Wellington	0.905862807171	1.07040577036111
ZNF143	Wellington	0.661591891414	1.05790231916234
ZNF263	Wellington	0.828219568556	1.17445466840824
ATF3	DNase2TF	0.60464540015	1.07774644210535
BACH1	DNase2TF	0.786930672381	1.27220696784225
BRCA1	DNase2TF	0.494134260188	1.01502251238685
CEBPB	DNase2TF	0.770830153102	1.20576342126112
CTCF	DNase2TF	0.32251716358	1.35430269000165
EGR1	DNase2TF	0.749282409459	1.30530946341245
FOSL1	DNase2TF	0.682479958608	1.08228054612691
GABP	DNase2TF	0.534467733279	1.19683814954421
JUN	DNase2TF	0.761913346455	1.07891633859827
JUND	DNase2TF	0.807218901808	1.2179189678642
MAFK	DNase2TF	0.786973676151	1.29728667271737
MAX	DNase2TF	0.425915383186	1.16365791589443
MYC	DNase2TF	0.416266944553	1.08742066620541
NRF1	DNase2TF	0.128305459891	1.35530550505282
POU5F1	DNase2TF	0.869840977791	1.12681403929231
RAD21	DNase2TF	0.316479443453	1.38625648592953
REST	DNase2TF	0.490044216392	1.35862133868317
RFX5	DNase2TF	0.557216721889	1.19365748024454
RXRA	DNase2TF	0.632870878637	1.16423707369248
SIX5	DNase2TF	0.672866028588	1.12399289954843
SP1	DNase2TF	0.538431880244	1.22314598077079
SP2	DNase2TF	0.494158526449	1.19009212757258
SP4	DNase2TF	0.0596791982171	1.28389162579508
SRF	DNase2TF	0.758712001764	1.23327585704141
TCF12	DNase2TF	0.720877904814	1.22872754530483
USF1	DNase2TF	0.601909079269	1.2525545603646
USF2	DNase2TF	0.577773081932	1.12938708236781
YY1	DNase2TF	0.635495552128	1.11135149057387
ZNF143	DNase2TF	0.689803494665	1.12706640170092
ARID3A	DNase2TF	0.80716421887	1.03723650740139
ATF1	DNase2TF	0.687256109933	1.10721707413561
ATF3	DNase2TF	0.612195738469	1.01535597696066
BACH1	DNase2TF	0.461480034821	1.1495192940188
BHLHE40	DNase2TF	0.563904607907	1.14033511134604
CCNT2	DNase2TF	0.620201438553	1.05277887407401
CEBPB	DNase2TF	0.837443979326	1.22868758809616
CTCF	DNase2TF	0.226450856972	1.22719977252676
CTCFL	DNase2TF	0.196114634764	1.19210121005167
E2F4	DNase2TF	0.518568752189	1.21415424741127
E2F6	DNase2TF	0.625726742361	1.1239960455683
EFOS	DNase2TF	0.755693271069	1.13410262483573
EGATA	DNase2TF	0.796900563532	1.08855625222689
EGR1	DNase2TF	0.763513484225	1.28239559130489
EJUNB	DNase2TF	0.69021680169	1.14460965153381
EJUND	DNase2TF	0.737108537119	1.13714554325263
ELF1	DNase2TF	0.308332265108	1.09749609552102
ELK1	DNase2TF	0.455771814968	1.11942279783338
ETS1	DNase2TF	0.585564334152	1.02903900583088
FOS	DNase2TF	0.738568124619	1.08705431259443
FOSL1	DNase2TF	0.752207666107	1.10428775183773
GABP	DNase2TF	0.463500531325	1.10901335103947
GATA1	DNase2TF	0.838360666041	1.02271400816241
GATA2	DNase2TF	0.803147857326	1.05203223321197
IRF1	DNase2TF	0.876927353785	1.16519188802893
JUN	DNase2TF	0.70375016811	1.0584201563807
JUND	DNase2TF	0.744622666669	1.13603034022697
MAFF	DNase2TF	0.627273230589	1.21460848814862
MAFK	DNase2TF	0.607781675024	1.18359173282068
MAX	DNase2TF	0.45307600016	1.0651935459876
MEF2A	DNase2TF	0.817226869474	1.06031313931326
MYC	DNase2TF	0.266216093732	1.02720006398714
NFE2	DNase2TF	0.563238926177	1.09916260787244
NFYA	DNase2TF	0.4442794763	1.07817826757002
NFYB	DNase2TF	0.39409043756	1.13286180604587
NR2F2	DNase2TF	0.592578609471	1.11194342454597
NRF1	DNase2TF	0.358511386411	1.24096736171284
PU1	DNase2TF	0.560204927134	1.20363216814595
RAD21	DNase2TF	0.146943213521	1.25277055415213
REST	DNase2TF	0.610249613624	1.2317263558486
RFX5	DNase2TF	0.5817831067	1.10625911207805
SIX5	DNase2TF	0.631474006345	1.06037439645072
SMC3	DNase2TF	0.162677324475	1.18977122808734
SP1	DNase2TF	0.431213014296	1.08083635356921
SP2	DNase2TF	0.632100986497	1.08276467293617
SRF	DNase2TF	0.736995307761	1.11847958317992
STAT1	DNase2TF	0.530256300528	1.06248843963093
STAT2	DNase2TF	0.85211703434	1.10180081024817
STAT5A	DNase2TF	0.639081002969	1.08991479523308
TAL1	DNase2TF	0.655570417059	1.1070697526606
THAP1	DNase2TF	0.676301280561	1.04344840664071
TR4	DNase2TF	0.679182194593	1.08360806975214
USF1	DNase2TF	0.587444376029	1.13629737247631
USF2	DNase2TF	0.526198069526	1.04688097559861
YY1	DNase2TF	0.720753283229	1.03503828364158
ZBTB33	DNase2TF	0.469969486229	1.22313711510496
ZBTB7A	DNase2TF	0.905862807171	1.08388889595749
ZNF143	DNase2TF	0.661591891414	1.07064781541106
ZNF263	DNase2TF	0.828219568556	1.23283076792682
ATF3	Boyle	0.60464540015	1.06154089292487
BACH1	Boyle	0.786930672381	1.19703164597972
BRCA1	Boyle	0.494134260188	1.01319382645454
CEBPB	Boyle	0.770830153102	1.14957296862393
CTCF	Boyle	0.32251716358	1.24986401828263
EGR1	Boyle	0.749282409459	1.20657815941851
FOSL1	Boyle	0.682479958608	1.06334203620906
GABP	Boyle	0.534467733279	1.15309013283466
JUN	Boyle	0.761913346455	1.06275311146143
JUND	Boyle	0.807218901808	1.16179617098755
MAFK	Boyle	0.786973676151	1.21185903266775
MAX	Boyle	0.425915383186	1.12404459207665
MYC	Boyle	0.416266944553	1.06933434125733
NRF1	Boyle	0.128305459891	1.34025866623173
POU5F1	Boyle	0.869840977791	1.10064201889081
RAD21	Boyle	0.316479443453	1.26906599150319
REST	Boyle	0.490044216392	1.25437195701901
RFX5	Boyle	0.557216721889	1.14165381056837
RXRA	Boyle	0.632870878637	1.12978214845506
SIX5	Boyle	0.672866028588	1.09477771313969
SP1	Boyle	0.538431880244	1.16663826203259
SP2	Boyle	0.494158526449	1.12835488580921
SP4	Boyle	0.0596791982171	1.14521804069626
SRF	Boyle	0.758712001764	1.16897562853623
TCF12	Boyle	0.720877904814	1.1683115038165
USF1	Boyle	0.601909079269	1.17810500132044
USF2	Boyle	0.577773081932	1.09734475669056
YY1	Boyle	0.635495552128	1.08395619534162
ZNF143	Boyle	0.689803494665	1.09844489355808
ARID3A	Boyle	0.80716421887	1.03100828003112
ATF1	Boyle	0.687256109933	1.08414457937755
ATF3	Boyle	0.612195738469	1.01375515767332
BACH1	Boyle	0.461480034821	1.1162725231341
BHLHE40	Boyle	0.563904607907	1.1067752369501
CCNT2	Boyle	0.620201438553	1.04445455741281
CEBPB	Boyle	0.837443979326	1.16400425523459
CTCF	Boyle	0.226450856972	1.17599890562921
CTCFL	Boyle	0.196114634764	1.15197865137298
E2F4	Boyle	0.518568752189	1.1257321043627
E2F6	Boyle	0.625726742361	1.10062688904532
EFOS	Boyle	0.755693271069	1.10452799699234
EGATA	Boyle	0.796900563532	1.07156489989811
EGR1	Boyle	0.763513484225	1.2045008343051
EJUNB	Boyle	0.69021680169	1.11279056560454
EJUND	Boyle	0.737108537119	1.10618873712554
ELF1	Boyle	0.308332265108	1.07682038650312
ELK1	Boyle	0.455771814968	1.09841456445423
ETS1	Boyle	0.585564334152	1.02583709841286
FOS	Boyle	0.738568124619	1.07231077875842
FOSL1	Boyle	0.752207666107	1.08371115748754
GABP	Boyle	0.463500531325	1.088176445353
GATA1	Boyle	0.838360666041	1.01955184546571
GATA2	Boyle	0.803147857326	1.04274338537105
IRF1	Boyle	0.876927353785	1.12382425533501
JUN	Boyle	0.70375016811	1.0481310491731
JUND	Boyle	0.744622666669	1.10483739955847
MAFF	Boyle	0.627273230589	1.15450609968407
MAFK	Boyle	0.607781675024	1.13406385107934
MAX	Boyle	0.45307600016	1.05352456737715
MEF2A	Boyle	0.817226869474	1.04850226519409
MYC	Boyle	0.266216093732	1.0236372339663
NFE2	Boyle	0.563238926177	1.08086218146189
NFYA	Boyle	0.4442794763	1.06169279537863
NFYB	Boyle	0.39409043756	1.10171805629541
NR2F2	Boyle	0.592578609471	1.08810642295398
NRF1	Boyle	0.358511386411	1.14734349784089
PU1	Boyle	0.560204927134	1.15039152098878
RAD21	Boyle	0.146943213521	1.19468663297667
REST	Boyle	0.610249613624	1.17282963248783
RFX5	Boyle	0.5817831067	1.08079731001058
SIX5	Boyle	0.631474006345	1.04826361112781
SMC3	Boyle	0.162677324475	1.15320693325896
SP1	Boyle	0.431213014296	1.06361272209631
SP2	Boyle	0.632100986497	1.06008544344804
SRF	Boyle	0.736995307761	1.09096281966855
STAT1	Boyle	0.530256300528	1.04993815318977
STAT2	Boyle	0.85211703434	1.07931574161443
STAT5A	Boyle	0.639081002969	1.07232925038394
TAL1	Boyle	0.655570417059	1.08473896022994
THAP1	Boyle	0.676301280561	1.03555888526716
TR4	Boyle	0.679182194593	1.06593848448391
USF1	Boyle	0.587444376029	1.10311086271713
USF2	Boyle	0.526198069526	1.03920202873114
YY1	Boyle	0.720753283229	1.02817329304292
ZBTB33	Boyle	0.469969486229	1.16042055032038
ZBTB7A	Boyle	0.905862807171	1.06872355924474
ZNF143	Boyle	0.661591891414	1.05666940047412
ZNF263	Boyle	0.828219568556	1.17048033414742
ATF3	HINT	0.60464540015	1.08841768189123
BACH1	HINT	0.786930672381	1.3367363644719
BRCA1	HINT	0.494134260188	1.01513451430894
CEBPB	HINT	0.770830153102	1.25397542498655
CTCF	HINT	0.32251716358	1.48305182178547
EGR1	HINT	0.749282409459	1.37136184902497
FOSL1	HINT	0.682479958608	1.09036759352471
GABP	HINT	0.534467733279	1.23357961815868
JUN	HINT	0.761913346455	1.09039742452751
JUND	HINT	0.807218901808	1.2635496151689
MAFK	HINT	0.786973676151	1.37299190368488
MAX	HINT	0.425915383186	1.19485990216364
MYC	HINT	0.416266944553	1.10009376302549
NRF1	HINT	0.128305459891	1.13549753487278
POU5F1	HINT	0.869840977791	1.14521288728124
RAD21	HINT	0.316479443453	1.54007263675439
REST	HINT	0.490044216392	1.4701963213151
RFX5	HINT	0.557216721889	1.24445905915691
RXRA	HINT	0.632870878637	1.18927056977216
SIX5	HINT	0.672866028588	1.14779058581014
SP1	HINT	0.538431880244	1.27802308270319
SP2	HINT	0.494158526449	1.21998513585294
SP4	HINT	0.0596791982171	1.23884938133081
SRF	HINT	0.758712001764	1.28786716571828
TCF12	HINT	0.720877904814	1.29955490920982
USF1	HINT	0.601909079269	1.31892511718783
USF2	HINT	0.577773081932	1.1547092600884
YY1	HINT	0.635495552128	1.13264373335689
ZNF143	HINT	0.689803494665	1.1499893515696
ARID3A	HINT	0.80716421887	1.0410870892757
ATF1	HINT	0.687256109933	1.12282962734585
ATF3	HINT	0.612195738469	1.01429034919494
BACH1	HINT	0.461480034821	1.17176698882187
BHLHE40	HINT	0.563904607907	1.16591386868512
CCNT2	HINT	0.620201438553	1.05690991549108
CEBPB	HINT	0.837443979326	1.28500810908702
CTCF	HINT	0.226450856972	1.2614167962392
CTCFL	HINT	0.196114634764	1.19245894790625
E2F4	HINT	0.518568752189	1.02655676027377
E2F6	HINT	0.625726742361	1.13293143902196
EFOS	HINT	0.755693271069	1.15383697409863
EGATA	HINT	0.796900563532	1.0992936314415
EGR1	HINT	0.763513484225	1.3135014391447
EJUNB	HINT	0.69021680169	1.16542156212733
EJUND	HINT	0.737108537119	1.15848800378374
ELF1	HINT	0.308332265108	1.11169224488386
ELK1	HINT	0.455771814968	1.09007669806228
ETS1	HINT	0.585564334152	1.02775764619091
FOS	HINT	0.738568124619	1.09272632292817
FOSL1	HINT	0.752207666107	1.1159908466821
GABP	HINT	0.463500531325	1.11818858111449
GATA1	HINT	0.838360666041	1.02360888827934
GATA2	HINT	0.803147857326	1.05744937771452
IRF1	HINT	0.876927353785	1.1979765400922
JUN	HINT	0.70375016811	1.06435299717719
JUND	HINT	0.744622666669	1.15814413626516
MAFF	HINT	0.627273230589	1.26777236661153
MAFK	HINT	0.607781675024	1.22667120158736
MAX	HINT	0.45307600016	1.0722893108692
MEF2A	HINT	0.817226869474	1.06819460397336
MYC	HINT	0.266216093732	1.02730999884055
NFE2	HINT	0.563238926177	1.10862938207171
NFYA	HINT	0.4442794763	1.08619145394518
NFYB	HINT	0.39409043756	1.15530812178196
NR2F2	HINT	0.592578609471	1.12888106104444
NRF1	HINT	0.358511386411	0.885183437716829
PU1	HINT	0.560204927134	1.2473369411554
RAD21	HINT	0.146943213521	1.27390440923479
REST	HINT	0.610249613624	1.28049089713853
RFX5	HINT	0.5817831067	1.12215347165409
SIX5	HINT	0.631474006345	1.06710082979363
SMC3	HINT	0.162677324475	1.20631581347484
SP1	HINT	0.431213014296	1.03454765317056
SP2	HINT	0.632100986497	0.980017085309615
SRF	HINT	0.736995307761	1.14025208074651
STAT1	HINT	0.530256300528	1.07047133081769
STAT2	HINT	0.85211703434	1.11827137578897
STAT5A	HINT	0.639081002969	1.10197411359851
TAL1	HINT	0.655570417059	1.12260638219279
THAP1	HINT	0.676301280561	1.04254291570336
TR4	HINT	0.679182194593	1.08955922153544
USF1	HINT	0.587444376029	1.16211373722488
USF2	HINT	0.526198069526	1.0499071795812
YY1	HINT	0.720753283229	1.03947506820275
ZBTB33	HINT	0.469969486229	1.2293939749711
ZBTB7A	HINT	0.905862807171	1.09200397994468
ZNF143	HINT	0.661591891414	1.08016892857551
ZNF263	HINT	0.828219568556	1.27949100933178
ATF3	HINT-BC	0.60464540015	1.09763426876257
BACH1	HINT-BC	0.786930672381	1.44059321375743
BRCA1	HINT-BC	0.494134260188	1.01484330931047
CEBPB	HINT-BC	0.770830153102	1.33121259848493
CTCF	HINT-BC	0.32251716358	1.54414233342483
EGR1	HINT-BC	0.749282409459	1.48906067950767
FOSL1	HINT-BC	0.682479958608	1.09002368254923
GABP	HINT-BC	0.534467733279	1.24979121319015
JUN	HINT-BC	0.761913346455	1.10380821412532
JUND	HINT-BC	0.807218901808	1.32795692461733
MAFK	HINT-BC	0.786973676151	1.5008416119815
MAX	HINT-BC	0.425915383186	1.21486781346186
MYC	HINT-BC	0.416266944553	1.10726837434381
NRF1	HINT-BC	0.128305459891	1.46061215183257
POU5F1	HINT-BC	0.869840977791	1.16958995579099
RAD21	HINT-BC	0.316479443453	1.61453667619259
REST	HINT-BC	0.490044216392	1.56030661955462
RFX5	HINT-BC	0.557216721889	1.28229452773695
RXRA	HINT-BC	0.632870878637	1.21250410257806
SIX5	HINT-BC	0.672866028588	1.17472575842276
SP1	HINT-BC	0.538431880244	1.33127923613617
SP2	HINT-BC	0.494158526449	1.25452285302833
SP4	HINT-BC	0.0596791982171	1.09836974417126
SRF	HINT-BC	0.758712001764	1.37119022730615
TCF12	HINT-BC	0.720877904814	1.36494662208982
USF1	HINT-BC	0.601909079269	1.39810000801654
USF2	HINT-BC	0.577773081932	1.17964884634037
YY1	HINT-BC	0.635495552128	1.15650128119989
ZNF143	HINT-BC	0.689803494665	1.17481597647362
ARID3A	HINT-BC	0.80716421887	1.04372505311597
ATF1	HINT-BC	0.687256109933	1.14222481359766
ATF3	HINT-BC	0.612195738469	1.01577681893931
BACH1	HINT-BC	0.461480034821	1.18916926078429
BHLHE40	HINT-BC	0.563904607907	1.19233393814971
CCNT2	HINT-BC	0.620201438553	1.06107244293605
CEBPB	HINT-BC	0.837443979326	1.38421783153467
CTCF	HINT-BC	0.226450856972	1.26994576431066
CTCFL	HINT-BC	0.196114634764	1.22896702709865
E2F4	HINT-BC	0.518568752189	1.25033194294211
E2F6	HINT-BC	0.625726742361	1.1440474981465
EFOS	HINT-BC	0.755693271069	1.17716165966617
EGATA	HINT-BC	0.796900563532	1.11190607589177
EGR1	HINT-BC	0.763513484225	1.41954926538115
EJUNB	HINT-BC	0.69021680169	1.18927812263644
EJUND	HINT-BC	0.737108537119	1.184590023177
ELF1	HINT-BC	0.308332265108	1.1177178767129
ELK1	HINT-BC	0.455771814968	1.12755624132371
ETS1	HINT-BC	0.585564334152	1.03029446973365
FOS	HINT-BC	0.738568124619	1.10085932891506
FOSL1	HINT-BC	0.752207666107	1.12990118828673
GABP	HINT-BC	0.463500531325	1.13021918031828
GATA1	HINT-BC	0.838360666041	1.02557485654782
GATA2	HINT-BC	0.803147857326	1.06494623325582
IRF1	HINT-BC	0.876927353785	1.25078965375842
JUN	HINT-BC	0.70375016811	1.07184700902718
JUND	HINT-BC	0.744622666669	1.18640363081539
MAFF	HINT-BC	0.627273230589	1.33712066369542
MAFK	HINT-BC	0.607781675024	1.2799580255225
MAX	HINT-BC	0.45307600016	1.07693583395764
MEF2A	HINT-BC	0.817226869474	1.07838527850501
MYC	HINT-BC	0.266216093732	1.0288278302043
